name,appid,genre
Sekiro: Shadows Die Twice - GOTY Edition,814380,Adventure
NARAKA: BLADEPOINT,1203220,Action
NARAKA: BLADEPOINT,1203220,Adventure
NARAKA: BLADEPOINT,1203220,Massively Multiplayer
Ricochet,60,Action
Castle Crashers,204360,Action
Castle Crashers,204360,Adventure
Castle Crashers,204360,Casual
Castle Crashers,204360,Indie
Castle Crashers,204360,RPG
Tomb Raider,203160,Action
Tomb Raider,203160,Adventure
Deceit,466240,Action
Deceit,466240,Free to Play
Deceit,466240,Indie
Arma 3,107410,Action
Arma 3,107410,Simulation
Arma 3,107410,Strategy
Deathmatch Classic,40,Action
Risk of Rain 2,632360,Action
Risk of Rain 2,632360,Indie
Dirty Bomb,333930,Action
Dirty Bomb,333930,Free to Play
No Man's Sky,275850,Action
No Man's Sky,275850,Adventure
The Binding of Isaac: Rebirth,250900,Action
Grim Dawn,219990,Action
Grim Dawn,219990,Adventure
Grim Dawn,219990,Indie
Grim Dawn,219990,RPG
Half-Life Deathmatch: Source,360,Action
Call of Duty: Modern Warfare 2 (2009),10180,Action
Counter-Strike Nexon: Studio,273110,Action
Counter-Strike Nexon: Studio,273110,Casual
Counter-Strike Nexon: Studio,273110,Free to Play
Counter-Strike Nexon: Studio,273110,Massively Multiplayer
DARK SOULS III,374320,Action
Sons Of The Forest,1326470,Action
Sons Of The Forest,1326470,Adventure
Sons Of The Forest,1326470,Indie
Sons Of The Forest,1326470,Simulation
Sons Of The Forest,1326470,Early Access
Scrap Mechanic,387990,Action
Scrap Mechanic,387990,Adventure
Scrap Mechanic,387990,Indie
Scrap Mechanic,387990,Simulation
Scrap Mechanic,387990,Early Access
Black Desert,582660,Action
Black Desert,582660,Adventure
Black Desert,582660,Massively Multiplayer
Black Desert,582660,RPG
Black Desert,582660,Simulation
Black Desert,582660,Strategy
KurtzPel,844870,Action
KurtzPel,844870,Free to Play
KurtzPel,844870,Early Access
Evolve Stage 2,273350,Action
Evolve Stage 2,273350,Free to Play
SCP: Secret Laboratory,700330,Action
SCP: Secret Laboratory,700330,Free to Play
Call of Duty 2,2630,Action
Geometry Dash,322170,Action
Geometry Dash,322170,Indie
Sea of Thieves 2023 Edition,1172620,Action
Sea of Thieves 2023 Edition,1172620,Adventure
Tom Clancy’s The Division,365590,Action
Tom Clancy’s The Division,365590,Adventure
Tom Clancy’s The Division,365590,RPG
Halo: The Master Chief Collection,976730,Action
theHunter Classic,253710,Action
theHunter Classic,253710,Adventure
theHunter Classic,253710,Free to Play
theHunter Classic,253710,Simulation
theHunter Classic,253710,Sports
Assassin’s Creed IV Black Flag,242050,Action
Assassin’s Creed IV Black Flag,242050,Adventure
Realm Royale,813820,Action
Realm Royale,813820,Free to Play
Realm Royale,813820,Early Access
Day of Defeat,30,Action
Total War: WARHAMMER II,594570,Action
Total War: WARHAMMER II,594570,Strategy
Life is Strange - Episode 1,319630,Action
Life is Strange - Episode 1,319630,Adventure
Grand Theft Auto: San Andreas,12120,Action
Neverwinter,109600,Action
Neverwinter,109600,Adventure
Neverwinter,109600,Free to Play
Neverwinter,109600,Massively Multiplayer
Neverwinter,109600,RPG
Call of Duty: Black Ops III,311210,Action
Call of Duty: Black Ops III,311210,Adventure
Call of Duty: Black Ops III,311210,Action
Call of Duty: Black Ops III,311210,Adventure
Resident Evil 2,883710,Action
Hades,1145360,Action
Hades,1145360,Indie
Hades,1145360,RPG
BattleBlock Theater,238460,Action
BattleBlock Theater,238460,Adventure
BattleBlock Theater,238460,Casual
BattleBlock Theater,238460,Indie
Team Fortress Classic,20,Action
DayZ,221100,Action
DayZ,221100,Adventure
DayZ,221100,Massively Multiplayer
Sven Co-op,225840,Action
Sven Co-op,225840,Casual
Sven Co-op,225840,Free to Play
